"filename", "language", "C++", "JSON", "HTML", "YAML", "Swift", "Markdown", "Dart", "XML", "CMake", "Groovy", "Properties", "comment", "blank", "total"
"e:\Projects\GitHub\flutter-apps\math_bingo\README.md", "Markdown", 0, 0, 0, 0, 0, -10, 0, 0, 0, 0, 0, 0, -7, -17
"e:\Projects\GitHub\flutter-apps\math_bingo\analysis_options.yaml", "YAML", 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, -23, -4, -30
"e:\Projects\GitHub\flutter-apps\math_bingo\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, -54, 0, -5, -13, -72
"e:\Projects\GitHub\flutter-apps\math_bingo\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, -4, -1, -9
"e:\Projects\GitHub\flutter-apps\math_bingo\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, 0, -6, -1, -35
"e:\Projects\GitHub\flutter-apps\math_bingo\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, -7, -2, -13
"e:\Projects\GitHub\flutter-apps\math_bingo\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, -7, -2, -13
"e:\Projects\GitHub\flutter-apps\math_bingo\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -9, -1, -19
"e:\Projects\GitHub\flutter-apps\math_bingo\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -9, -1, -19
"e:\Projects\GitHub\flutter-apps\math_bingo\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, -4, -1, -9
"e:\Projects\GitHub\flutter-apps\math_bingo\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, 0, 0, -5, -32
"e:\Projects\GitHub\flutter-apps\math_bingo\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"e:\Projects\GitHub\flutter-apps\math_bingo\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -1, -6
"e:\Projects\GitHub\flutter-apps\math_bingo\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, -4, -12
"e:\Projects\GitHub\flutter-apps\math_bingo\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, -2, -14
"e:\Projects\GitHub\flutter-apps\math_bingo\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, -122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -123
"e:\Projects\GitHub\flutter-apps\math_bingo\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, -23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -24
"e:\Projects\GitHub\flutter-apps\math_bingo\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, -2, -5
"e:\Projects\GitHub\flutter-apps\math_bingo\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, -36, 0, 0, 0, -1, -1, -38
"e:\Projects\GitHub\flutter-apps\math_bingo\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, 0, -1, -1, -27
"e:\Projects\GitHub\flutter-apps\math_bingo\ios\Runner\Runner-Bridging-Header.h", "C++", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"e:\Projects\GitHub\flutter-apps\math_bingo\linux\flutter\generated_plugin_registrant.cc", "C++", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -12
"e:\Projects\GitHub\flutter-apps\math_bingo\linux\flutter\generated_plugin_registrant.h", "C++", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"e:\Projects\GitHub\flutter-apps\math_bingo\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"e:\Projects\GitHub\flutter-apps\math_bingo\linux\main.cc", "C++", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7
"e:\Projects\GitHub\flutter-apps\math_bingo\linux\my_application.cc", "C++", -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -20, -105
"e:\Projects\GitHub\flutter-apps\math_bingo\linux\my_application.h", "C++", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -5, -19
"e:\Projects\GitHub\flutter-apps\math_bingo\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, -3, -4, -13
"e:\Projects\GitHub\flutter-apps\math_bingo\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, -2, -10
"e:\Projects\GitHub\flutter-apps\math_bingo\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, -68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -69
"e:\Projects\GitHub\flutter-apps\math_bingo\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, -343, 0, 0, 0, 0, -1, -344
"e:\Projects\GitHub\flutter-apps\math_bingo\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, -4, -16
"e:\Projects\GitHub\flutter-apps\math_bingo\pubspec.yaml", "YAML", 0, 0, 0, -18, 0, 0, 0, 0, 0, 0, 0, -60, -16, -94
"e:\Projects\GitHub\flutter-apps\math_bingo\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, -14, 0, 0, 0, 0, -10, -7, -31
"e:\Projects\GitHub\flutter-apps\math_bingo\web\index.html", "HTML", 0, 0, -37, 0, 0, 0, 0, 0, 0, 0, 0, -16, -6, -59
"e:\Projects\GitHub\flutter-apps\math_bingo\web\manifest.json", "JSON", 0, -35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -36
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\flutter\generated_plugin_registrant.cc", "C++", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -5, -12
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\flutter\generated_plugin_registrant.h", "C++", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, 0, -6, -24
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\flutter_window.cpp", "C++", -45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -13, -62
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\flutter_window.h", "C++", -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -9, -34
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\main.cpp", "C++", -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -10, -44
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\resource.h", "C++", -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -2, -17
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\utils.cpp", "C++", -53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -10, -65
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\utils.h", "C++", -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -6, -20
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\win32_window.cpp", "C++", -183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, -48, -246
"e:\Projects\GitHub\flutter-apps\math_bingo\windows\runner\win32_window.h", "C++", -48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, -22, -99
"Total", "-", -499, -248, -37, -21, -38, -13, -14, -466, -36, -89, -8, -272, -276, -2017